Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
895;FC4T40_LU01AU_LK01_RM2;Hochregallager AU-/FO-Klappe RM Zu;1;C;;N;;;;;PLC;1;!19333.BI.8.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01AU_LK01_RM2;0;;0;;0;0;0;0;0
896;FC4T40_LU01AU_LK01_SB1;Hochregallager AU-/FO-Klappe Bf Auf;1;C;;N;;;;;PLC;1;!19333.BO.4.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01AU_LK01_SB1;0;;0;;0;0;0;0;0
897;FC4T40_LU01AU_RS01_AL1;Hochregallager AU-Rev.Schalter Wartung;1;C;;N;;;;;PLC;1;!19333.BI.2.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01AU_RS01_AL1;0;;0;;0;0;0;0;0
898;FC4T40_LU01AU_TM01_GW1;Hochregallager Vorkonditionierung GW-AT Freigabe Luftkühler;1;C;;N;;;;;PLC;1;!19333.AV.49.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_TM01_GW1;0;;0;;0;0;0;0;0
899;FC4T40_LU01AU_TM01_GW2;Hochregallager Vorkonditionierung GW-AT Anfahrschaltung;1;C;;N;;;;;PLC;1;!19333.AV.50.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_TM01_GW2;0;;0;;0;0;0;0;0
900;FC4T40_LU01AU_TM01_GW3;Hochregallager Vorkonditionierung GW-AU Freigabe Lufterhitzer;1;C;;N;;;;;PLC;1;!19333.AV.48.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_TM01_GW3;0;;0;;0;0;0;0;0
901;FC4T40_LU01AU_TM01_GW4;Hochregallager GW-AT Anfahrschaltung;1;C;;N;;;;;PLC;1;!19333.AV.13.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_TM01_GW4;0;;0;;0;0;0;0;0
902;FC4T40_LU01AU_TM01_ME1;Hochregallager AU-Temp. n. WRG Messung;1;C;;N;;;;;PLC;1;!19333.AI.1.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_TM01_ME1;0;;0;;0;0;0;0;0
903;FC4T40_LU01AU_TM01_ME2;Hochregallager AU-Temp. Messung;1;C;;N;;;;;PLC;1;!19333.AI.0.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_TM01_ME2;0;;0;;0;0;0;0;0
904;FC4T40_LU01AU_VE01_AL1;Hochregallager AU-Ventilator Alarm;1;C;;N;;;;;PLC;1;!19333.BI.3.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01AU_VE01_AL1;0;;0;;0;0;0;0;0
905;FC4T40_LU01AU_VE01_ME1;Hochregallager AU-Ventilator Rückführung;1;C;;N;;;;;PLC;1;!19333.AI.13.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_VE01_ME1;0;;0;;0;0;0;0;0
906;FC4T40_LU01AU_VE01_RM1;Hochregallager BRM AU Ventilator;1;C;;N;;;;;PLC;1;!19333.BV.4.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01AU_VE01_RM1;0;;0;;0;0;0;0;0
907;FC4T40_LU01AU_VE01_XS1;Hochregallager Y AU Ventilator;1;C;;N;;;;;PLC;1;!19333.AV.8.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_VE01_XS1;0;;0;;0;0;0;0;0
908;FC4T40_LU01AU_VE01_YB1;Hochregallager AU-Ventilator Stellsignal;1;C;;N;;;;;PLC;1;!19333.AO.0.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_VE01_YB1;0;;0;;0;0;0;0;0
909;FC4T40_LU01BF_DB01_AL1;Hochregallager ZU-Dampfbef. Gerätestörung;1;C;;N;;;;;PLC;1;!19333.BI.14.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01BF_DB01_AL1;0;;0;;0;0;0;0;0
910;FC4T40_LU01BF_DB01_RM1;Hochregallager ZU-Dampfbef. RM Dampf;1;C;;N;;;;;PLC;1;!19333.BI.15.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01BF_DB01_RM1;0;;0;;0;0;0;0;0
911;FC4T40_LU01BF_DB01_SB1;Hochregallager ZU-Dampfbef. Bf Ein;1;C;;N;;;;;PLC;1;!19333.BO.8.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01BF_DB01_SB1;0;;0;;0;0;0;0;0
