Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
1501;072HH02C01_001H1;Zeitbefehl HG Nord ( NR);19bc16d;C;;N;;;;;PLC;3;001:7201_94_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02C01_001H1;0;;0;;0;0;0;0;0
1502;072HH02E01_001H1;Betriebswahl HG Nord ( ANR0);19bc16d;C;;N;;;;;PLC;3;001:7201_95_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02E01_001H1;0;;0;;0;0;0;0;0
1503;072HH02P01_001D1;Pumpe HG Nord;19bc16d;C;;N;;;;;PLC;3;001:7201_89_BI_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02P01_001D1;0;;0;;0;0;0;0;0
1504;072HH02P01_001D1_ADD;Pumpe HG Nord_[h];19bc16d;C;;N;;;;;PLC;3;001:7201_89_HR;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02P01_001D1_ADD;0;;0;;0;0;0;0;0
1505;072HH02P01_001D2;Pumpe HG Nord;19bc16d;C;;N;;;;;PLC;3;001:7201_78_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02P01_001D2;0;;0;;0;0;0;0;0
1506;072HH02P01_001H1;Pumpenschalter HG Nord (0A1)_[h];19bc16d;C;;N;;;;;PLC;3;001:7201_96_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02P01_001H1;0;;0;;0;0;0;0;0
1507;072HH02P01_001S1;DO Pumpe HG Nord;19bc16d;C;;N;;;;;PLC;3;001:7201_40_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02P01_001S1;0;;0;;0;0;0;0;0
1508;072HH02P01_001Z1;Pumpe HG Nord_[h];19bc16d;C;;N;;;;;PLC;3;001:7201_159_CI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02P01_001Z1;0;;0;;0;0;0;0;0
1509;072HH02T01_001M1;VL-Temperatur HG Nord_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_2_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001M1;0;;0;;0;0;0;0;0
1510;072HH02T01_001W1;XS Raumtemp Tag HG Nord_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_120_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001W1;0;;0;;0;0;0;0;0
1511;072HH02T01_001W2;SL Heizkurve HG Nord;19bc16d;C;;N;;;;;PLC;3;001:7201_98_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001W2;0;;0;;0;0;0;0;0
1512;072HH02T01_001W3;XSC VL-Temp HG Nord_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_124_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001W3;0;;0;;0;0;0;0;0
1513;072HH02T01_001W4;XS Raumtemp Red HG Nord_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_121_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001W4;0;;0;;0;0;0;0;0
1514;072HH02T01_001W5;XS Heizgrenze HG Nord_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_122_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001W5;0;;0;;0;0;0;0;0
1515;072HH02T01_001W6;Min Grenzwert VL TempHG Nord_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_112_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001W6;0;;0;;0;0;0;0;0
1516;072HH02T01_001W7;Max Grenzwert VL TempHG Nord_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_113_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001W7;0;;0;;0;0;0;0;0
1517;072HH02T01_001W8;MW Aussentemp HG Nord_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_123_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02T01_001W8;0;;0;;0;0;0;0;0
1518;072HH02V01_001Y1;AO Regelventil HG Nord_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_28_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02V01_001Y1;0;;0;;0;0;0;0;0
1519;072HH02V01_001Y2;AO Regelventil HG Nord_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_28_NDA;I;10000;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH02V01_001Y2;0;;0;;0;0;0;0;0
1520;072HH03C01_001H1;Zeitbefehl HG Ost ( NR);19bc16d;C;;N;;;;;PLC;3;001:7201_114_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03C01_001H1;0;;0;;0;0;0;0;0
1521;072HH03E01_001H1;Betriebswahl HG Ost ( ANR0);19bc16d;C;;N;;;;;PLC;3;001:7201_115_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03E01_001H1;0;;0;;0;0;0;0;0
1522;072HH03P01_001D1;Pumpe HG Ost;19bc16d;C;;N;;;;;PLC;3;001:7201_90_BI_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03P01_001D1;0;;0;;0;0;0;0;0
1523;072HH03P01_001D1_ADD;Pumpe HG Ost_[h];19bc16d;C;;N;;;;;PLC;3;001:7201_90_HR;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03P01_001D1_ADD;0;;0;;0;0;0;0;0
1524;072HH03P01_001D2;Pumpe HG Ost;19bc16d;C;;N;;;;;PLC;3;001:7201_79_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03P01_001D2;0;;0;;0;0;0;0;0
1525;072HH03P01_001H1;Pumpenschalter HG Ost (0A1);19bc16d;C;;N;;;;;PLC;3;001:7201_103_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH03P01_001H1;0;;0;;0;0;0;0;0
